date;m_s;f_s;t_s;m_c;f_c;t_c;t_p;cap;hac;;
ene-12;26429;1985;28414;68230;5652;73882;102296;75620;35,28%;;
feb-12;27516;2086;29602;69265;5824;75089;104691;75620;38,44%;;
mar-12;27906;2163;30069;70211;5831;76042;106111;75676;40,22%;;
abr-12;28602;2235;30837;70609;5874;76483;107320;75676;41,82%;;
may-12;29325;2353;31678;71227;5880;77107;108785;75676;43,75%;;
jun-12;29771;2369;32140;71661;5908;77569;109709;75676;44,97%;;
jul-12;30300;2407;32707;72353;5945;78298;111005;75676;46,68%;;
ago-12;30620;2470;33090;72881;6008;78889;111979;75676;47,97%;;
sep-12;31425;2526;33951;73109;6044;79153;113104;75676;49,46%;;
oct-12;32082;2549;34631;73578;6075;79653;114284;75726;50,92%;;
nov-12;32760;2551;35311;73333;6053;79386;114697;75726;51,46%;;
dic-12;32114;2457;34571;73273;6040;79313;113884;75726;50,39%;;
ene-13;33000;2519;35519;73293;6060;79353;114872;75726;51,69%;;
feb-13;33074;2606;35680;73983;6118;80101;115781;75726;52,89%;;
mar-13;33199;2664;35863;74357;6150;80507;116370;75726;53,67%;;
abr-13;33298;2763;36061;74397;6557;80954;117015;75726;54,52%;;
may-13;33395;2802;36197;75155;6176;81331;117528;75726;55,20%;;
jun-13;33405;2792;36197;75477;6186;81663;117860;75726;55,64%;;
jul-13;33181;2851;36032;75975;6194;82169;118201;75726;56,09%;;
ago-13;33096;2845;35941;76296;6241;82537;118478;75726;56,46%;;
sep-13;33447;2864;36311;76756;6283;83039;119350;75895;57,26%;;
oct-13;33703;2812;36515;77174;6349;83523;120038;75895;58,16%;;
nov-13;34122;2840;36962;77031;6317;83348;120310;75895;58,52%;;
dic-13;34307;2745;37052;76739;6241;82980;120032;76066;57,80%;;
ene-14;34978;2777;37755;76668;6200;82868;120623;76066;58,58%;;
feb-14;35225;2736;37961;75772;6082;81854;119815;76180;57,28%;;
mar-14;36526;3204;39730;73725;5513;79238;118968;76180;56,17%;;
abr-14;36524;3231;39755;72969;5251;78220;117975;76283;54,65%;;
may-14;37137;2926;40063;71819;5429;77248;117311;76519;53,31%;;
jun-14;37638;3022;40660;71291;5280;76571;117231;76519;53,21%;;
jul-14;37812;2879;40691;71075;5364;76439;117130;76553;53,01%;;
ago-14;38165;3185;41350;70461;5062;75523;116873;76553;52,67%;;
sep-14;38202;3223;41425;70643;4969;75612;117037;76553;52,88%;;
